IMDB id,Title,Year,Rating,Genre,Top_cast,Top casts
tt0119295,Himalay Putra,1997.0,4.3,"Action, Drama, Romance",VinodKhanna HemaMalini AkshayeKhanna AnjalaZaveri ShaziaMalik,"Vinod Khanna, Hema Malini, Akshaye Khanna, Anjala Zaveri, Shazia Malik"
tt24787322,Gurudev Hoysala,2023.0,6.7,"Action, Crime, Drama",Dhananjaya AmruthaIyengar B.S.Avinash NaveenShankar AnirudhBhat,"Dhananjaya, Amrutha Iyengar, B.S. Avinash, Naveen Shankar, Anirudh Bhat"
tt0375733,Encounter: The Killing,2002.0,6.2,"Crime, Drama",NaseeruddinShah DilipPrabhavalkar TaraDeshpande AkashKhurana RatnaPathakShah,"Naseeruddin Shah, Dilip Prabhavalkar, Tara Deshpande, Akash Khurana, Ratna Pathak Shah"
tt0084840,Umbartha,1982.0,7.4,Drama,SmitaPatil GirishKarnad ShrikantMoghe AshalataWabgaonkar KusumKulkarni,"Smita Patil, Girish Karnad, Shrikant Moghe, Ashalata Wabgaonkar, Kusum Kulkarni"
tt0064842,Prince,1969.0,6.9,"Musical, Romance",ShammiKapoor Vyjayanthimala RajendranathMalhotra AjitKhan Helen,"Shammi Kapoor, Vyjayanthimala, Rajendranath Malhotra, Ajit Khan, Helen"
tt0069218,Sanjog,1972.0,5.8,"Comedy, Drama, Family",MalaSinha AmitabhBachchan ArunaIrani MadanPuri NasirHussain,"Mala Sinha, Amitabh Bachchan, Aruna Irani, Madan Puri, Nasir Hussain"
tt0111384,Teesra Kaun?,1994.0,5.2,"Comedy, Thriller",MithunChakraborty ChunkyPandey SomyAli JaavedJaaferi SadashivAmrapurkar,"Mithun Chakraborty, Chunky Pandey, Somy Ali, Jaaved Jaaferi, Sadashiv Amrapurkar"
tt2767712,Badlapur Boys,2014.0,4.9,Drama,AnnuKapoor AnupamMaanav SaranyaMohan Nishan KishoriShahane,"Annu Kapoor, Anupam Maanav, Saranya Mohan, Nishan, Kishori Shahane"
tt1124386,Pankh,2010.0,3.6,Drama,BipashaBasu LilleteDubey MaheshManjrekar MaradonaRebello AmitPurohit,"Bipasha Basu, Lillete Dubey, Mahesh Manjrekar, Maradona Rebello, Amit Purohit"
tt0176012,Patthar Ke Sanam,1967.0,6.4,"Action, Drama, Musical",WaheedaRehman ManojKumar MumtazAskari Mehmood LalitaPawar,"Waheeda Rehman, Manoj Kumar, Mumtaz Askari, Mehmood, Lalita Pawar"
